_Annual_J-D_2019_____________ L-OTI(^S^o^N^C) Anomaly vs 2000-2001              
   i   j     lon     lat    array(i,j)
 150   2  119.00  -87.00        0.9754
 151   2  121.00  -87.00        0.9754
 152   2  123.00  -87.00        0.9754
 153   2  125.00  -87.00        0.9754
 154   2  127.00  -87.00        0.9754
 155   2  129.00  -87.00        0.9754
 156   2  131.00  -87.00        0.9754
 157   2  133.00  -87.00        0.9754
 158   2  135.00  -87.00        0.9754
 159   2  137.00  -87.00        0.9754
 160   2  139.00  -87.00        0.9754
 161   2  141.00  -87.00        0.9754
 162   2  143.00  -87.00        0.9754
 163   2  145.00  -87.00        0.9754
 164   2  147.00  -87.00        0.9754
 165   2  149.00  -87.00        0.9754
 166   2  151.00  -87.00        0.9754
 167   2  153.00  -87.00        0.9754
 168   2  155.00  -87.00        0.9754
 169   2  157.00  -87.00        0.9754
 170   2  159.00  -87.00        0.9754
 171   2  161.00  -87.00        0.9754
 172   2  163.00  -87.00        0.9754
 173   2  165.00  -87.00        0.9754
 174   2  167.00  -87.00        0.9754
 175   2  169.00  -87.00        0.9754
 176   2  171.00  -87.00        0.9754
 177   2  173.00  -87.00        0.9754
 178   2  175.00  -87.00        0.9754
 179   2  177.00  -87.00        0.9754
 180   2  179.00  -87.00        0.9754
   1   3 -179.00  -85.00        0.9754
   2   3 -177.00  -85.00        0.9754
   3   3 -175.00  -85.00        0.9754
   4   3 -173.00  -85.00        0.9754
   5   3 -171.00  -85.00        0.9754
   6   3 -169.00  -85.00        0.9754
   7   3 -167.00  -85.00        0.9754
   8   3 -165.00  -85.00        0.9754
   9   3 -163.00  -85.00        0.9754
  10   3 -161.00  -85.00        0.9754
  11   3 -159.00  -85.00        0.9754
  12   3 -157.00  -85.00        0.9754
  13   3 -155.00  -85.00        0.9754
  14   3 -153.00  -85.00        0.9754
  15   3 -151.00  -85.00        0.9754
  16   3 -149.00  -85.00        0.9754
  17   3 -147.00  -85.00        0.9754
  18   3 -145.00  -85.00        0.9754
  19   3 -143.00  -85.00        0.9754
  20   3 -141.00  -85.00        0.9754
  21   3 -139.00  -85.00        0.9754
  22   3 -137.00  -85.00        0.9754
  23   3 -135.00  -85.00        0.9754
  24   3 -133.00  -85.00        0.9754
  25   3 -131.00  -85.00        0.9754
  26   3 -129.00  -85.00        0.9754
  27   3 -127.00  -85.00        0.9754
  28   3 -125.00  -85.00        0.9754
  29   3 -123.00  -85.00        0.9754
  30   3 -121.00  -85.00        0.9754
  31   3 -119.00  -85.00        0.9754
  32   3 -117.00  -85.00        0.9754
  33   3 -115.00  -85.00        0.9754
  34   3 -113.00  -85.00        0.9754
  35   3 -111.00  -85.00        0.9754
  36   3 -109.00  -85.00        0.9754
  37   3 -107.00  -85.00        0.9754
  38   3 -105.00  -85.00        0.9754
  39   3 -103.00  -85.00        0.9754
  40   3 -101.00  -85.00        0.9754
  41   3  -99.00  -85.00        0.9754
  42   3  -97.00  -85.00        0.9754
  43   3  -95.00  -85.00        0.9754
  44   3  -93.00  -85.00        0.9754
  45   3  -91.00  -85.00        0.9754
  46   3  -89.00  -85.00        0.9754
  47   3  -87.00  -85.00        0.9754
  48   3  -85.00  -85.00        0.9754
  49   3  -83.00  -85.00        0.9754
  50   3  -81.00  -85.00        0.9754
  51   3  -79.00  -85.00        0.9754
  52   3  -77.00  -85.00        0.9754
  53   3  -75.00  -85.00        0.9754
  54   3  -73.00  -85.00        0.9754
  55   3  -71.00  -85.00        0.9754
  56   3  -69.00  -85.00        0.9754
  57   3  -67.00  -85.00        0.9754
  58   3  -65.00  -85.00        0.9754
  59   3  -63.00  -85.00        0.9754
  60   3  -61.00  -85.00        0.9754
  61   3  -59.00  -85.00        0.9754
  62   3  -57.00  -85.00        0.9754
  63   3  -55.00  -85.00        0.9754
  64   3  -53.00  -85.00        0.9754
  65   3  -51.00  -85.00        0.9754
  66   3  -49.00  -85.00        0.9754
  67   3  -47.00  -85.00        0.9754
  68   3  -45.00  -85.00        0.9754
  69   3  -43.00  -85.00        0.9754
  70   3  -41.00  -85.00        0.9754
  71   3  -39.00  -85.00        0.9754
  72   3  -37.00  -85.00        0.9754
  73   3  -35.00  -85.00        0.9754
  74   3  -33.00  -85.00        0.9754
  75   3  -31.00  -85.00        0.9754
  76   3  -29.00  -85.00        0.9754
  77   3  -27.00  -85.00        0.9754
  78   3  -25.00  -85.00        0.9754
  79   3  -23.00  -85.00        0.9754
  80   3  -21.00  -85.00        0.9754
  81   3  -19.00  -85.00        0.9754
  82   3  -17.00  -85.00        0.9754
  83   3  -15.00  -85.00        0.9754
  84   3  -13.00  -85.00        0.9754
  85   3  -11.00  -85.00        0.9754
  86   3   -9.00  -85.00        0.9754
  87   3   -7.00  -85.00        0.9754
  88   3   -5.00  -85.00        0.9754
  89   3   -3.00  -85.00        0.9754
  90   3   -1.00  -85.00        0.9754
  91   3    1.00  -85.00        0.9754
  92   3    3.00  -85.00        0.9754
  93   3    5.00  -85.00        0.9754
  94   3    7.00  -85.00        0.9754
  95   3    9.00  -85.00        0.9754
  96   3   11.00  -85.00        0.9754
  97   3   13.00  -85.00        0.9754
  98   3   15.00  -85.00        0.9754
  99   3   17.00  -85.00        0.9754
 100   3   19.00  -85.00        0.9754
 101   3   21.00  -85.00        0.9754
 102   3   23.00  -85.00        0.9754
 103   3   25.00  -85.00        0.9754
 104   3   27.00  -85.00        0.9754
 105   3   29.00  -85.00        0.9754
 106   3   31.00  -85.00        0.9754
 107   3   33.00  -85.00        0.9754
 108   3   35.00  -85.00        0.9754
 109   3   37.00  -85.00        0.9754
 110   3   39.00  -85.00        0.9754
 111   3   41.00  -85.00        0.9754
 112   3   43.00  -85.00        0.9754
 113   3   45.00  -85.00        0.9754
 114   3   47.00  -85.00        0.9754
 115   3   49.00  -85.00        0.9754
 116   3   51.00  -85.00        0.9754
 117   3   53.00  -85.00        0.9754
 118   3   55.00  -85.00        0.9754
 119   3   57.00  -85.00        0.9754
 120   3   59.00  -85.00        0.9754
 121   3   61.00  -85.00        0.9754
 122   3   63.00  -85.00        0.9754
 123   3   65.00  -85.00        0.9754
 124   3   67.00  -85.00        0.9754
 125   3   69.00  -85.00        0.9754
 126   3   71.00  -85.00        0.9754
 127   3   73.00  -85.00        0.9754
 128   3   75.00  -85.00        0.9754
 129   3   77.00  -85.00        0.9754
 130   3   79.00  -85.00        0.9754
 131   3   81.00  -85.00        0.9754
 132   3   83.00  -85.00        0.9754
 133   3   85.00  -85.00        0.9754
 134   3   87.00  -85.00        0.9754
 135   3   89.00  -85.00        0.9754
 136   3   91.00  -85.00        0.9754
 137   3   93.00  -85.00        0.9754
 138   3   95.00  -85.00        0.9754
 139   3   97.00  -85.00        0.9754
 140   3   99.00  -85.00        0.9754
 141   3  101.00  -85.00        0.9754
 142   3  103.00  -85.00        0.9754
 143   3  105.00  -85.00        0.9754
 144   3  107.00  -85.00        0.9754
 145   3  109.00  -85.00        0.9754
 146   3  111.00  -85.00        0.9754
 147   3  113.00  -85.00        0.9754
 148   3  115.00  -85.00        0.9754
 149   3  117.00  -85.00        0.9754
 150   3  119.00  -85.00        0.9754
 151   3  121.00  -85.00        0.9754
 152   3  123.00  -85.00        0.9754
 153   3  125.00  -85.00        0.9754
 154   3  127.00  -85.00        0.9754
 155   3  129.00  -85.00        0.9754
 156   3  131.00  -85.00        0.9754
 157   3  133.00  -85.00        0.9754
 158   3  135.00  -85.00        0.9754
 159   3  137.00  -85.00        0.9754
 160   3  139.00  -85.00        0.9754
 161   3  141.00  -85.00        0.9754
 162   3  143.00  -85.00        0.9754
 163   3  145.00  -85.00        0.9754
 164   3  147.00  -85.00        0.9754
 165   3  149.00  -85.00        0.9754
 166   3  151.00  -85.00        0.9754
 167   3  153.00  -85.00        0.9754
 168   3  155.00  -85.00        0.9754
 169   3  157.00  -85.00        0.9754
 170   3  159.00  -85.00        0.9754
 171   3  161.00  -85.00        0.9754
 172   3  163.00  -85.00        0.9754
 173   3  165.00  -85.00        0.9754
 174   3  167.00  -85.00        0.9754
 175   3  169.00  -85.00        0.9754
 176   3  171.00  -85.00        0.9754
 177   3  173.00  -85.00        0.9754
 178   3  175.00  -85.00        0.9754
 179   3  177.00  -85.00        0.9754
 180   3  179.00  -85.00        0.9754
   1   4 -179.00  -83.00        0.9754
   2   4 -177.00  -83.00        0.9754
   3   4 -175.00  -83.00        0.9754
   4   4 -173.00  -83.00        0.9754
   5   4 -171.00  -83.00        0.9754
   6   4 -169.00  -83.00        0.9754
   7   4 -167.00  -83.00        0.9754
   8   4 -165.00  -83.00        0.9754
   9   4 -163.00  -83.00        0.9754
  10   4 -161.00  -83.00        0.9754
  11   4 -159.00  -83.00        0.9754
  12   4 -157.00  -83.00        0.9754
  13   4 -155.00  -83.00        0.9754
  14   4 -153.00  -83.00        0.9754
  15   4 -151.00  -83.00        0.9754
  16   4 -149.00  -83.00        0.9754
  17   4 -147.00  -83.00        0.9754
  18   4 -145.00  -83.00        0.9754
  19   4 -143.00  -83.00        0.9754
  20   4 -141.00  -83.00        0.9754
  21   4 -139.00  -83.00        0.9754
  22   4 -137.00  -83.00        0.9754
  23   4 -135.00  -83.00        0.9754
  24   4 -133.00  -83.00        0.9754
  25   4 -131.00  -83.00        0.9754
  26   4 -129.00  -83.00        0.9754
  27   4 -127.00  -83.00        0.9754
  28   4 -125.00  -83.00        0.9754
  29   4 -123.00  -83.00        0.9754
  30   4 -121.00  -83.00        0.9754
  31   4 -119.00  -83.00        0.9754
  32   4 -117.00  -83.00        0.9754
  33   4 -115.00  -83.00        0.9754
  34   4 -113.00  -83.00        0.9754
  35   4 -111.00  -83.00        0.9754
  36   4 -109.00  -83.00        0.9754
  37   4 -107.00  -83.00        0.9754
  38   4 -105.00  -83.00        0.9754
  39   4 -103.00  -83.00        0.9754
  40   4 -101.00  -83.00        0.9754
  41   4  -99.00  -83.00        0.9754
  42   4  -97.00  -83.00        0.9754
  43   4  -95.00  -83.00        0.9754
  44   4  -93.00  -83.00        0.9754
  45   4  -91.00  -83.00        0.9754
  46   4  -89.00  -83.00        0.9754
  47   4  -87.00  -83.00        0.9754
  48   4  -85.00  -83.00        0.9754
  49   4  -83.00  -83.00        0.9754
  50   4  -81.00  -83.00        0.9754
  51   4  -79.00  -83.00        0.9754
  52   4  -77.00  -83.00        0.9754
  53   4  -75.00  -83.00        0.9754
  54   4  -73.00  -83.00        0.9754
  55   4  -71.00  -83.00        0.9754
  56   4  -69.00  -83.00        0.9754
  57   4  -67.00  -83.00        0.9754
  58   4  -65.00  -83.00        0.9754
  59   4  -63.00  -83.00        0.9754
  60   4  -61.00  -83.00        0.9754
  61   4  -59.00  -83.00        0.9754
  62   4  -57.00  -83.00        0.9754
  63   4  -55.00  -83.00        0.9754
  64   4  -53.00  -83.00        0.9754
  65   4  -51.00  -83.00        0.9754
  66   4  -49.00  -83.00        0.9754
  67   4  -47.00  -83.00        0.9754
  68   4  -45.00  -83.00        0.9754
  69   4  -43.00  -83.00        0.9754
  70   4  -41.00  -83.00        0.9754
  71   4  -39.00  -83.00        0.9754
  72   4  -37.00  -83.00        0.9754
  73   4  -35.00  -83.00        0.9754
  74   4  -33.00  -83.00        0.9754
  75   4  -31.00  -83.00        0.9754
  76   4  -29.00  -83.00        0.9754
  77   4  -27.00  -83.00        0.9754
  78   4  -25.00  -83.00        0.9754
  79   4  -23.00  -83.00        0.9754
  80   4  -21.00  -83.00        0.9754
  81   4  -19.00  -83.00        0.9754
  82   4  -17.00  -83.00        0.9754
  83   4  -15.00  -83.00        0.9754
  84   4  -13.00  -83.00        0.9754
  85   4  -11.00  -83.00        0.9754
  86   4   -9.00  -83.00        0.9754
  87   4   -7.00  -83.00        0.9754
  88   4   -5.00  -83.00        0.9754
  89   4   -3.00  -83.00        0.9754
  90   4   -1.00  -83.00        0.9754
  91   4    1.00  -83.00        0.9754
  92   4    3.00  -83.00        0.9754
  93   4    5.00  -83.00        0.9754
  94   4    7.00  -83.00        0.9754
  95   4    9.00  -83.00        0.9754
  96   4   11.00  -83.00        0.9754
  97   4   13.00  -83.00        0.9754
  98   4   15.00  -83.00        0.9754
  99   4   17.00  -83.00        0.9754
 100   4   19.00  -83.00        0.9754
 101   4   21.00  -83.00        0.9754
 102   4   23.00  -83.00        0.9754
 103   4   25.00  -83.00        0.9754
 104   4   27.00  -83.00        0.9754
 105   4   29.00  -83.00        0.9754
 106   4   31.00  -83.00        0.9754
 107   4   33.00  -83.00        0.9754
 108   4   35.00  -83.00        0.9754
 109   4   37.00  -83.00        0.9754
 110   4   39.00  -83.00        0.9754
 111   4   41.00  -83.00        0.9754
 112   4   43.00  -83.00        0.9754
 113   4   45.00  -83.00        0.9754
 114   4   47.00  -83.00        0.9754
 115   4   49.00  -83.00        0.9754
 116   4   51.00  -83.00        0.9754
 117   4   53.00  -83.00        0.9754
 118   4   55.00  -83.00        0.9754
 119   4   57.00  -83.00        0.9754
 120   4   59.00  -83.00        0.9754
 121   4   61.00  -83.00        0.9754
 122   4   63.00  -83.00        0.9754
 123   4   65.00  -83.00        0.9754
 124   4   67.00  -83.00        0.9754
 125   4   69.00  -83.00        0.9754
 126   4   71.00  -83.00        0.9754
 127   4   73.00  -83.00        0.9754
 128   4   75.00  -83.00        0.9754
 129   4   77.00  -83.00        0.9754
 130   4   79.00  -83.00        0.9754
 131   4   81.00  -83.00        0.9754
 132   4   83.00  -83.00        0.9754
 133   4   85.00  -83.00        0.9754
 134   4   87.00  -83.00        0.9754
 135   4   89.00  -83.00        0.9754
 136   4   91.00  -83.00        0.9754
 137   4   93.00  -83.00        0.9754
 138   4   95.00  -83.00        0.9754
 139   4   97.00  -83.00        0.9754
 140   4   99.00  -83.00        0.9754
 141   4  101.00  -83.00        0.9754
 142   4  103.00  -83.00        0.9754
 143   4  105.00  -83.00        0.9754
 144   4  107.00  -83.00        0.9754
 145   4  109.00  -83.00        0.9754
 146   4  111.00  -83.00        0.9754
 147   4  113.00  -83.00        0.9754
 148   4  115.00  -83.00        0.9754
 149   4  117.00  -83.00        0.9754
 150   4  119.00  -83.00        0.9754
 151   4  121.00  -83.00        0.9754
 152   4  123.00  -83.00        0.9754
 153   4  125.00  -83.00        0.9754
 154   4  127.00  -83.00        0.9754
 155   4  129.00  -83.00        0.9754
 156   4  131.00  -83.00        0.9754
 157   4  133.00  -83.00        0.9754
 158   4  135.00  -83.00        0.9754
 159   4  137.00  -83.00        0.9754
 160   4  139.00  -83.00        0.9754
 161   4  141.00  -83.00        0.9754
 162   4  143.00  -83.00        0.9754
 163   4  145.00  -83.00        0.9754
 164   4  147.00  -83.00        0.9754
